

 One-dimensional plot values
 Input line #      35
  X (Microns)   Y (Microns)  X (Microns)        Concentration (cm^-3)         
      0.14000       0.03500       0.14000        2.728419E+18
      0.14100       0.03525       0.14100        2.583216E+18
      0.14111       0.03528       0.14111        2.567083E+18
      0.14200       0.03550       0.14200        2.438015E+18
      0.14222       0.03556       0.14222        2.405748E+18
      0.14300       0.03575       0.14300        2.292812E+18
      0.14333       0.03583       0.14333        2.244412E+18
      0.14400       0.03600       0.14400        2.147611E+18
      0.14444       0.03611       0.14444        2.083076E+18
      0.14500       0.03625       0.14500        2.002408E+18
      0.14556       0.03639       0.14556        1.921739E+18
      0.14600       0.03650       0.14600        1.857204E+18
      0.14667       0.03667       0.14667        1.760404E+18
      0.14700       0.03675       0.14700        1.712003E+18
      0.14778       0.03694       0.14778        1.599067E+18
      0.14800       0.03700       0.14800        1.566800E+18
      0.14889       0.03722       0.14889        1.437733E+18
      0.14900       0.03725       0.14900        1.421599E+18
      0.15000       0.03750       0.15000        1.276396E+18
      0.15100       0.03775       0.15100        1.203990E+18
      0.15111       0.03778       0.15111        1.195945E+18
      0.15200       0.03800       0.15200        1.131585E+18
      0.15222       0.03806       0.15222        1.115495E+18
      0.15300       0.03825       0.15300        1.059179E+18
      0.15333       0.03833       0.15333        1.035044E+18
      0.15400       0.03850       0.15400        9.867735E+17
      0.15444       0.03861       0.15444        9.545935E+17
      0.15500       0.03875       0.15500        9.143686E+17
      0.15556       0.03889       0.15556        8.741430E+17
      0.15600       0.03900       0.15600        8.419626E+17
      0.15667       0.03917       0.15667        7.936926E+17
      0.15700       0.03925       0.15700        7.695575E+17
      0.15778       0.03944       0.15778        7.132416E+17
      0.15800       0.03950       0.15800        6.971512E+17
      0.15889       0.03972       0.15889        6.327904E+17
      0.15900       0.03975       0.15900        6.247451E+17
      0.16000       0.04000       0.16000        5.523364E+17
      0.16100       0.04025       0.16100        5.189707E+17
      0.16111       0.04028       0.16111        5.152635E+17
      0.16200       0.04050       0.16200        4.855969E+17
      0.16222       0.04056       0.16222        4.781805E+17
      0.16300       0.04075       0.16300        4.522050E+17
      0.16333       0.04083       0.16333        4.410745E+17
      0.16400       0.04100       0.16400        4.187802E+17
      0.16444       0.04111       0.16444        4.039235E+17
      0.16500       0.04125       0.16500        3.852950E+17
      0.16556       0.04139       0.16556        3.666870E+17
      0.16600       0.04150       0.16600        3.517089E+17
      0.16667       0.04167       0.16667        3.293005E+17
      0.16700       0.04175       0.16700        3.179656E+17
      0.16778       0.04194       0.16778        2.916663E+17
      0.16800       0.04200       0.16800        2.839940E+17
      0.16889       0.04222       0.16889        2.536544E+17
      0.16900       0.04225       0.16900        2.497247E+17
      0.17000       0.04250       0.17000        2.151117E+17
      0.17100       0.04275       0.17100        1.988091E+17
      0.17111       0.04278       0.17111        1.971150E+17
      0.17200       0.04300       0.17200        1.817092E+17
      0.17222       0.04306       0.17222        1.782335E+17
      0.17300       0.04325       0.17300        1.637281E+17
      0.17333       0.04333       0.17333        1.583688E+17
      0.17400       0.04350       0.17400        1.448851E+17
