

 One-dimensional plot values
 Input line #      36
  X (Microns)   Y (Microns)  X (Microns)        Concentration (cm^-3)         
      0.15333       0.03833       0.15333       -2.469272E+18
      0.15400       0.03850       0.15400       -2.378916E+18
      0.15444       0.03861       0.15444       -2.318680E+18
      0.15500       0.03875       0.15500       -2.243384E+18
      0.15556       0.03889       0.15556       -2.168086E+18
      0.15600       0.03900       0.15600       -2.107846E+18
      0.15667       0.03917       0.15667       -2.017485E+18
      0.15700       0.03925       0.15700       -1.972301E+18
      0.15778       0.03944       0.15778       -1.866869E+18
      0.15800       0.03950       0.15800       -1.836741E+18
      0.15889       0.03972       0.15889       -1.716224E+18
      0.15900       0.03975       0.15900       -1.701155E+18
      0.16000       0.04000       0.16000       -1.565520E+18
      0.16100       0.04025       0.16100       -1.486181E+18
      0.16111       0.04028       0.16111       -1.477366E+18
      0.16200       0.04050       0.16200       -1.406691E+18
      0.16222       0.04056       0.16222       -1.389026E+18
      0.16300       0.04075       0.16300       -1.326951E+18
      0.16333       0.04083       0.16333       -1.300368E+18
      0.16400       0.04100       0.16400       -1.246825E+18
      0.16444       0.04111       0.16444       -1.211195E+18
      0.16500       0.04125       0.16500       -1.166124E+18
      0.16556       0.04139       0.16556       -1.121228E+18
      0.16600       0.04150       0.16600       -1.084609E+18
      0.16667       0.04167       0.16667       -1.030095E+18
      0.16700       0.04175       0.16700       -1.002000E+18
      0.16778       0.04194       0.16778       -9.373364E+17
      0.16800       0.04200       0.16800       -9.180005E+17
      0.16889       0.04222       0.16889       -8.424393E+17
      0.16900       0.04225       0.16900       -8.323535E+17
      0.17000       0.04250       0.17000       -7.449032E+17
      0.17100       0.04275       0.17100       -6.894475E+17
      0.17111       0.04278       0.17111       -6.838039E+17
      0.17200       0.04300       0.17200       -6.310121E+17
      0.17222       0.04306       0.17222       -6.193029E+17
      0.17300       0.04325       0.17300       -5.695988E+17
      0.17333       0.04333       0.17333       -5.513834E+17
      0.17400       0.04350       0.17400       -5.055217E+17
      0.17444       0.04361       0.17444       -4.804204E+17
      0.17500       0.04375       0.17500       -4.394529E+17
      0.17556       0.04389       0.17556       -4.072524E+17
      0.17600       0.04400       0.17600       -3.724343E+17
      0.17632       0.04408       0.17632       -3.536919E+17
      0.17667       0.04417       0.17667       -3.244125E+17
      0.17700       0.04425       0.17700       -3.058210E+17
      0.17737       0.04434       0.17737       -2.838677E+17
      0.17762       0.04440       0.17762       -2.622886E+17
      0.17800       0.04450       0.17800       -2.411784E+17
      0.17842       0.04461       0.17842       -2.164074E+17
      0.17857       0.04464       0.17857       -2.033185E+17
      0.17900       0.04475       0.17900       -1.801270E+17
      0.17947       0.04487       0.17947       -1.536817E+17
      0.17952       0.04488       0.17952       -1.493743E+17
      0.18000       0.04500       0.18000       -1.241687E+17
      0.18048       0.04512       0.18048       -1.032494E+17
